hotel,date,y_p,y_pred_p
RKT07,2024-04-27,142.62055346639508,
RKT07,2024-04-28,189.88561445446834,
RKT07,2024-04-29,164.58188898242827,
RKT07,2024-04-30,120.62635008948496,
RKT07,2024-05-01,177.61189010591835,
RKT07,2024-05-02,182.6463274471701,
RKT07,2024-05-03,137.05298189727657,
RKT07,2024-05-04,127.52040118085372,
RKT07,2024-05-05,138.60080357217743,
RKT07,2024-05-06,130.69697547742126,
RKT07,2024-05-07,108.02085346900795,
RKT07,2024-05-08,102.0268816656368,
RKT07,2024-05-09,189.82019623385213,
RKT07,2024-05-10,176.18540814807685,
RKT07,2024-05-11,94.22318198992583,
RKT07,2024-05-12,176.70530715251718,
RKT07,2024-05-13,202.03521225373962,
RKT07,2024-05-14,175.87667691935022,
RKT07,2024-05-15,174.66448577055792,
RKT07,2024-05-16,205.97813513388772,
RKT07,2024-05-17,171.37509485837174,
RKT07,2024-05-18,106.72494966372145,
RKT07,2024-05-19,162.19815839989815,
RKT07,2024-05-20,184.15958886590766,
RKT07,2024-05-21,169.1282684494503,
RKT07,2024-05-22,193.80660580688868,
RKT07,2024-05-23,198.36267965072963,
RKT07,2024-05-24,133.30882371609113,
RKT07,2024-05-25,134.2971339067767,
RKT07,2024-05-26,138.95419130240435,
RKT07,2024-05-27,144.44905675967706,
RKT07,2024-05-28,164.20278199809454,
RKT07,2024-05-29,191.4344634557948,
RKT07,2024-05-30,172.09540829086635,
RKT07,2024-05-31,103.94316666232675,
RKT07,2024-06-01,103.03409860303759,
RKT07,2024-06-02,132.4442908707298,
RKT07,2024-06-03,180.77286891085558,
RKT07,2024-06-04,145.02868956364102,
RKT07,2024-06-05,138.67684133003988,
RKT07,2024-06-06,126.4090969795019,
RKT07,2024-06-07,125.07347558045245,
RKT07,2024-06-08,110.89323425433723,
RKT07,2024-06-09,120.3084584295677,116.56980812943053
RKT07,2024-06-10,165.48202589334258,152.4620215237589
RKT07,2024-06-11,169.67637153362213,181.38677476893048
RKT07,2024-06-12,133.54863374188528,138.0360193017963
RKT07,2024-06-13,166.75997626896643,163.0416454719582
RKT07,2024-06-14,112.53943229527813,133.28911359959847
RKT07,2024-06-15,107.89641235615723,122.26312415374633
RKT07,2024-06-16,141.32175823761662,136.30362059250447
RKT07,2024-06-17,160.64687331643657,180.28582506912008
RKT07,2024-06-18,128.06992046542715,141.4719845827634
RKT07,2024-06-19,159.93848514820846,159.80657179549743
RKT07,2024-06-20,165.91131825704957,174.69006824543845
RKT07,2024-06-21,73.86947424697543,101.22579869438331
RKT07,2024-06-22,81.45248727127016,80.71154782069384
RKT07,2024-06-23,130.26425530418837,139.90364184155442
RKT07,2024-06-24,131.6607571616508,144.73603075552333
RKT07,2024-06-25,161.67667708673386,170.21587827579265
RKT07,2024-06-26,160.32031399392085,173.6079518587296
RKT07,2024-06-27,161.69514668118757,168.76591645850203
RKT07,2024-06-28,97.22578122851601,126.85609934374749
RKT07,2024-06-29,85.1975434936378,85.80834316599994
RKT07,2024-06-30,89.50056095530941,100.71401156900566
RKT07,2024-07-01,134.56717766775517,120.5396736545986
RKT07,2024-07-02,143.50839638746808,149.16401970454837
RKT07,2024-07-03,160.11165901111684,165.73831205583676
RKT07,2024-07-04,169.4300894990389,173.96208723087474
RKT07,2024-07-05,129.83932006662118,158.41088868106135
RKT07,2024-07-06,111.02348772863074,117.19494527152176
RKT07,2024-07-07,147.1361280289525,155.02475149601764
RKT07,2024-07-08,146.18162400142177,151.1504341929356
RKT07,2024-07-09,149.04172454374088,159.77947646330423
RKT07,2024-07-10,114.05325576165573,113.8963742246136
RKT07,2024-07-11,147.08075787499988,145.14122088362112
RKT07,2024-07-12,97.08330188876452,118.68805053355376
RKT07,2024-07-13,101.34865484202749,107.74219214196994
RKT07,2024-07-14,156.0881424070635,157.37202983411214
RKT07,2024-07-15,169.9486209231121,186.74933593521476
RKT07,2024-07-16,179.29794976062496,188.14005493085457
RKT07,2024-07-17,153.4937675176328,169.49495362478567
RKT07,2024-07-18,160.6790311357412,154.41586803122988
RKT07,2024-07-19,142.05797815866316,146.5261932120988
RKT07,2024-07-20,106.60068140266529,113.67984547396408
RKT07,2024-07-21,137.91513359959347,134.32070996053392
RKT07,2024-07-22,166.05045179509867,155.59195381651546
RKT07,2024-07-23,151.7403935348265,155.66945471162904
RKT07,2024-07-24,158.1594348631931,156.35454338023374
RKT07,2024-07-25,164.551035031752,162.4342081681137
RKT07,2024-07-26,163.24871353565922,161.08141784740667
RKT07,2024-07-27,121.02344125706247,122.66765727414304
RKT07,2024-07-28,113.87284239756099,110.08126951916243
RKT07,2024-07-29,116.41628216210351,109.05874357139636
RKT07,2024-07-30,117.70625027283822,115.1028225612813
RKT07,2024-07-31,120.58497093442746,118.36502776698347
RKT07,2024-08-01,124.40697478021521,120.75162087661718
RKT07,2024-08-02,124.03046080779286,120.35301504961507
RKT07,2024-08-03,119.66245867051303,114.43564787458972
RKT07,2024-08-04,111.65521057193901,114.44838429186368
RKT07,2024-08-05,116.94341183860124,106.5285189148091
RKT07,2024-08-06,122.58407737196708,121.0530810291387
RKT07,2024-08-07,118.0119834295015,119.14135296897653
RKT07,2024-08-08,118.19976189049284,118.71866883809408
RKT07,2024-08-09,126.62011155155632,133.50416651129584
RKT07,2024-08-10,119.78491191203686,111.67951730378054
RKT07,2024-08-11,145.29101848930773,143.28770141194735
RKT07,2024-08-12,158.99150477533206,153.35970683702408
RKT07,2024-08-13,151.87738451422422,151.49700692660153
RKT07,2024-08-14,150.1142554309418,147.10658160827612
RKT07,2024-08-15,154.09075585879123,152.2775181600463
RKT07,2024-08-16,154.43998601500272,152.8782482799424
RKT07,2024-08-17,143.3268869414342,141.72264919054578
RKT07,2024-08-18,135.87347394999838,144.7986406194669
RKT07,2024-08-19,135.66578716992504,117.94926970851638
RKT07,2024-08-20,137.42410590743464,128.2777433303809
RKT07,2024-08-21,128.64178698933026,123.28829389425496
RKT07,2024-08-22,124.43160336924734,122.83325951871961
RKT07,2024-08-23,128.02670279295788,129.53857260909209
RKT07,2024-08-24,88.4411129602837,101.35698424750547
RKT07,2024-08-25,182.14700226148793,157.64232029461772
RKT07,2024-08-26,208.23236985887087,198.78828657015356
RKT07,2024-08-27,218.3854585962632,225.6571986055861
RKT07,2024-08-28,220.28519035791427,222.44633805982127
RKT07,2024-08-29,202.61494216879515,193.0732360076726
RKT07,2024-08-30,159.6190605348819,169.60852320071731
RKT07,2024-08-31,125.49675727850573,123.92737238221225
RKT07,2024-09-01,149.90343288029962,130.09838384527097
RKT07,2024-09-02,182.24777903143618,146.28974120938557
RKT07,2024-09-03,182.24490366600145,166.7036352364501
RKT07,2024-09-04,173.19110467029114,177.95370420575526
RKT07,2024-09-05,171.13730560546205,163.55888568995695
RKT07,2024-09-06,125.47084614789964,139.46398297558068
RKT07,2024-09-07,94.93551142888269,101.75002509861645
RKT07,2024-09-08,93.35467665208009,84.91849113053807
RKT07,2024-09-09,160.75221133150734,129.2714384659923
RKT07,2024-09-10,155.3853767417686,177.3004401680735
RKT07,2024-09-11,51.30696016316547,81.36809995041996
RKT07,2024-09-12,65.20512306408682,51.140140358988106
RKT07,2024-09-13,137.0196484664846,134.66034463594463
RKT07,2024-09-14,102.91907621659328,90.35833480269197
RKT07,2024-09-15,125.22600524937901,124.75889257090755
RKT07,2024-09-16,109.47940683060138,124.74266656950293
RKT07,2024-09-17,86.32641964095693,119.99431289868751
RKT07,2024-09-18,129.2625878606298,145.65081588947493
RKT07,2024-09-19,144.80881797480157,187.03596827036463
RKT07,2024-09-20,106.17603289356781,116.51197988167634
RKT07,2024-09-21,64.25627446450095,92.55196515206352
RKT07,2024-09-22,96.13359280374536,119.4881002082464
RKT07,2024-09-23,132.37967306737616,156.3873445813695
RKT07,2024-09-24,146.3000837626674,200.87754170110244
RKT07,2024-09-25,186.9705830472412,166.4983514965061
RKT07,2024-09-26,196.26202223967334,191.65770357310504
RKT07,2024-09-27,117.71226158811686,148.52481479426717
RKT07,2024-09-28,116.898844766481,135.40407213568645
RKT07,2024-09-29,166.68805486443102,173.09967173115191
RKT07,2024-09-30,179.00880853220863,199.5396473701511
RKT08,2023-01-01,29.63539202455828,
RKT08,2023-01-02,21.135470422263968,
RKT08,2023-01-03,19.349804468592996,
RKT08,2023-01-04,38.13647145871166,
RKT08,2023-01-05,63.49710100083892,
RKT08,2023-01-06,32.4593129571428,
RKT08,2023-01-07,53.55044293821191,
RKT08,2023-01-08,34.33949051175094,
RKT08,2023-01-09,66.64033582027304,
RKT08,2023-01-10,79.39972823336839,
RKT08,2023-01-11,59.1696815431968,
RKT08,2023-01-12,81.75720708434294,
RKT08,2023-01-13,35.356152459768744,
RKT08,2023-01-14,48.07350454170246,
RKT08,2023-01-15,85.50519914153453,
RKT08,2023-01-16,21.536524291623444,
RKT08,2023-01-17,21.834840516505928,
RKT08,2023-01-18,30.423777087077557,
RKT08,2023-01-19,34.13738908413546,
RKT08,2023-01-20,28.241980364214417,
RKT08,2023-01-21,58.451106369975236,
RKT08,2023-01-22,94.56527002226335,
RKT08,2023-01-23,77.90904652624734,
RKT08,2023-01-24,36.08180416605312,
RKT08,2023-01-25,20.347532771733555,
RKT08,2023-01-26,32.72687813869654,
RKT08,2023-01-27,27.2078495556334,
RKT08,2023-01-28,37.6814775324443,
RKT08,2023-01-29,53.46628417653328,
RKT08,2023-01-30,45.88418888820071,
RKT08,2023-01-31,17.273695253774733,
RKT08,2023-02-01,51.59796857141904,
RKT08,2023-02-02,66.7769018665152,
RKT08,2023-02-03,46.932154765028855,
RKT08,2023-02-04,66.66900869699238,
RKT08,2023-02-05,63.801946607485974,
RKT08,2023-02-06,48.762911816666566,
RKT08,2023-02-07,50.92375495972999,
RKT08,2023-02-08,41.39637091368886,
RKT08,2023-02-09,76.92485392915863,
RKT08,2023-02-10,65.96972881881145,
RKT08,2023-02-11,85.09272726852166,
RKT08,2023-02-12,66.82979076196631,
RKT08,2023-02-13,62.20817541473977,
RKT08,2023-02-14,34.01709661423773,
RKT08,2023-02-15,43.28246482951644,
RKT08,2023-02-16,48.306816995224374,
RKT08,2023-02-17,63.89318054561192,
RKT08,2023-02-18,89.80499538392877,
RKT08,2023-02-19,74.24684365471104,
RKT08,2023-02-20,47.60798614090286,
RKT08,2023-02-21,46.24560700010864,
RKT08,2023-02-22,57.04751827968694,
RKT08,2023-02-23,88.36517235386734,
RKT08,2023-02-24,80.1728250873622,
RKT08,2023-02-25,85.46871991547773,
RKT08,2023-02-26,98.37986984284613,
RKT08,2023-02-27,99.66386586912486,
RKT08,2023-02-28,68.61504580621394,
RKT08,2023-03-01,66.70890301751098,
RKT08,2023-03-02,35.09409854337881,
RKT08,2023-03-03,42.666382031858895,
RKT08,2023-03-04,53.126801356189866,
RKT08,2023-03-05,63.663693243753066,
RKT08,2023-03-06,124.61962798410433,
RKT08,2023-03-07,137.9230080303828,
RKT08,2023-03-08,118.60805085869916,
RKT08,2023-03-09,116.54892468378863,
RKT08,2023-03-10,63.104197805293026,
RKT08,2023-03-11,57.275267042036354,
RKT08,2023-03-12,50.57276817831087,
RKT08,2023-03-13,25.121720015333786,
RKT08,2023-03-14,29.165334860983748,
RKT08,2023-03-15,31.415913494932695,
RKT08,2023-03-16,33.95202439205771,
RKT08,2023-03-17,71.63671221955545,
RKT08,2023-03-18,63.51063349518313,
RKT08,2023-03-19,51.15818269981104,
RKT08,2023-03-20,48.01710248996608,
RKT08,2023-03-21,24.52301400654828,
